Focal,day.id,before.enc,time.encounter,time_play_min,encounter_day
Athos,Athos_2013-11-11,0,469,832,yes
Mystere,Mystere_2013-12-19,1,731,494,yes
Surprise,Surprise_2013-12-19,1,731,627,yes
Poseidon,Poseidon_2014-01-20,1,845,441,yes
Woodstock,Woodstock_2014-04-11,1,780,463,yes
Ibrahim,Ibrahim_2014-04-11,1,780,543,yes
Fredy,Fredy_2014-09-16,1,860,414,yes
Fatima,Fatima_2014-10-11,1,984,411,yes
Wandy,Wandy_2014-11-06,0,471,758,yes
Elisa,Elisa_2014-11-12,0,555,948,yes
Fredy,Fredy_2014-12-25,1,582,528,yes
Poseidon,Poseidon_2014-12-25,0,582,800,yes
Willy,Willy_2014-12-30,1,464,408,yes
Kuba,Kuba_2014-12-31,1,707,538,yes
Fredy,Fredy_2015-01-02,1,480,410,yes
Woodstock,Woodstock_2015-01-12,1,623,512,yes
Kinshasa,Kinshasa_2015-01-18,1,710,628,yes
Woodstock,Woodstock_2015-01-18,0,710,871,yes
Poseidon,Poseidon_2015-01-23,1,921,546,yes
Indira,Indira_2015-01-23,1,921,632,yes
Athos,Athos_2015-02-07,1,795,468,yes
Korie,Korie_2015-02-11,1,994,818,yes
Athos,Athos_2015-02-13,0,601,738,yes
Noureyev,Noureyev_2015-11-11,1,843,697,yes
Pandora,Pandora_2016-12-23,0,509,567,yes
Kuba,Kuba_2016-12-25,1,630,408,yes
Kinshasa,Kinshasa_2016-12-25,1,630,470,yes
Surprise,Surprise_2017-02-25,1,740,487,yes