Focal,day.id,before.hunt,time.hunt,time_play_min,hunt_day
Fredy,Fredy_2012-12-14,1,780,431,yes
Noureyev,Noureyev_2013-03-30,0,506,668,yes
Belle,Belle_2013-05-31,0,669,742,yes
Yeda_since2013,Yeda_since2013_2013-09-22,1,724,590,yes
Mbeli,Mbeli_2013-10-26,0,643,777,yes
Athos,Athos_2013-12-10,1,660,460,yes
Kinshasa,Kinshasa_2013-12-12,0,720,946,yes
Athos,Athos_2014-02-10,1,590,524,yes
Fredy,Fredy_2014-02-19,1,772,476,yes
Mbeli,Mbeli_2014-02-26,1,906,433,yes
Fatima,Fatima_2014-03-14,0,563,885,yes
Poseidon,Poseidon_2014-05-13,1,660,575,yes
Pandora,Pandora_2014-09-08,1,897,685,yes
Fredy,Fredy_2014-10-02,1,864,483,yes
Fatima,Fatima_2014-10-11,1,945,411,yes
Richelieu,Richelieu_2014-11-04,1,958,693,yes
Poseidon,Poseidon_2014-11-04,1,958,764,yes
Jacobo,Jacobo_2014-12-23,1,668,607,yes
Willy,Willy_2014-12-30,1,500,408,yes
Kuba,Kuba_2014-12-31,1,918,538,yes
Willy,Willy_2015-01-22,1,655,495,yes
Poseidon,Poseidon_2015-01-22,1,655,552,yes
Athos,Athos_2015-02-07,1,579,468,yes
Athos,Athos_2015-02-13,1,811,738,yes
Mystere,Mystere_2015-05-07,1,875,841,yes
Poseidon,Poseidon_2015-12-02,1,921,445,yes
Willy,Willy_2015-12-15,1,777,696,yes
Indira,Indira_2016-03-16,1,440,434,yes
Ibrahim,Ibrahim_2017-02-25,1,626,476,yes
Sumatra,Sumatra_2017-04-10,0,554,604,yes
Wandy,Wandy_2017-09-20,1,690,587,yes